word,meaning,category
resume,이력서,toeic
applicant,지원자,toeic
requirement,필요조건,toeic
meet,만족시키다,toeic
qualified,자격있는,toeic
candidate,후보자,toeic
confidence,확신,toeic
highly,매우,toeic
professional,전문적인,toeic
interview,면접,toeic
hire,고용하다,toeic
training,교육,toeic
reference,추천서,toeic
position,일자리,toeic
achievement,성취,toeic
impressed,인상 깊게 생각하는,toeic
excellent,훌륭한,toeic
eligible,자격이 있는,toeic
identify,알아보다,toeic
associate,관련시키다,toeic
condition,조건,toeic
employment,고용,toeic
lack,~이 없다,toeic
managerial,관리의,toeic
diligent,성실한,toeic
familiar,익숙한,toeic
proficiency,숙달,toeic
prospective,장래의,toeic
appeal,관심을 끌다,toeic
specialize,~을 전공하다,toeic
apprehensive,걱정하는,toeic
consultant,고문,toeic
entitle,자격을 주다,toeic
degree,학위,toeic
payroll,임금대장,toeic
recruit,모집하다,toeic
certification,증명서,toeic
occupation,직업,toeic
wage,임금,toeic
attire,복장,toeic
code,규범,toeic
concern,우려,toeic
policy,규정; 보험,toeic
comply,준수하다,toeic
regulation,규정,toeic
exception,예외,toeic
adhere,지키다,toeic
severely,엄격하게,toeic
refrain,자제하다,toeic
permission,허락,toeic
access,이용권한,toeic
thoroughly,철저하게,toeic
revise,수정하다,toeic
approach,접근법,toeic
approval,승인,toeic
form,종류,toeic
immediately,즉시,toeic
inspection,점검,toeic
arrangement,준비,toeic
procedure,절차,toeic
negative,부정적인,toeic
mandate,명령하다,toeic
effect,효력,toeic
drastically,심하게,toeic
according to,~에 따라,toeic
enable,가능하게 하다,toeic
standard,기준,toeic
constant,지속적인,toeic
act,법령,toeic
compensation,보상금,toeic
ban,금지,toeic
obligation,의무,toeic
authorize,~을 인가하다,toeic
prohibit,금지하다,toeic
abolish,폐지하다,toeic
enforce,시행하다,toeic
habit,습관,toeic
lagislation,법률,toeic
restrict,한정하다,toeic
accustomed,익숙한,toeic
corporatiion,주식회사,toeic
demanding,요구가 많은,toeic
colleague,동료,toeic
division,부서,toeic
request,요청,toeic
efficiently,효율적으로,toeic
submit,제출하다,toeic
directly,곧바로,toeic
remind,~에게 상기시키다,toeic
instruct,지시하다,toeic
deadline,마감일,toeic
sample,견본,toeic
notify,~에게 통지하다,toeic
perform,행하다,toeic
monitor,감독하다,toeic
deserve,~할 만하다,toeic
assignment,일,toeic
entire,전체의,toeic
release,발표하다,toeic
extension,연장,toeic
electronically,컴퓨터 통신망으로,toeic
attendance,출석,toeic
absolutely,절대적으로,toeic
delegate,위임하다. 대표,toeic
attentively,주의 깊게,toeic
supervision,감독,toeic
workshop,워크숍,toeic
draw,끌다,toeic
revision,수정,toeic
reluctantly,마지못해,toeic
acquaint,~에게 숙지시키다,toeic
convey,전달하다,toeic
check,검사하다,toeic
headquarters,본부,toeic
file,정리하다,toeic
oversee,감독하다 ,toeic
involved,관여하는,toeic
concentrate,집중하다,toeic
lax,느슨한,toeic
procrastinate,미루다,toeic
combined,결합된,toeic
accomplish,성취하다,toeic
voluntarily,자발적으로,toeic
undertake,떠맡다,toeic
occasionally,가끔,toeic
employee,직원,toeic
assist,돕다,toeic
satisfied,만족하는,toeic
manner,방식,toeic
responsible,책임이 있는,toeic
conduct,수행하다,toeic
adjust,적응하다,toeic
personnel,직원,toeic
agree,동의하다,toeic
supervise,감독하다,toeic
coworker,동료,toeic
direct,~에게 길을 안내하다,toeic
confidential,기밀의,toeic
assign,배정하다,toeic
leading,선도적인,toeic
formal,격식을 갖춘,toeic
remove,해임하다,toeic
collect,모으다,toeic
coordinate,조정하다,toeic
hardly,거의~하지않다,toeic
abstract,추상적인,toeic
directory,주소록,toeic
accountable,책임이 있는,toeic
skillfully,능숙하게,toeic
exclusive,독점적인,toeic
intention,의지,toeic
transform,바꾸다,toeic
respectful,정중한,toeic
duplicate,사본,toeic
contrary,반대,toeic
disturbing,충격적인,toeic
engage,관여하다,toeic
foster,촉진하다,toeic
neutrality,중립성,toeic
widely,널리,toeic
sophisticated,정교한,toeic
timely,시기적절한,toeic
realistically,현실적으로,toeic
promptly,즉시; 정각에,toeic
implement,실시하다,toeic
feedback,의견,toeic
outstanding,우수한; 미지불된,toeic
inform,~에게 알리다,toeic
replacement,교체,toeic
announcement,공고,toeic
department,부서,toeic
permanently,영구적으로,toeic
fulfill,지키다,toeic
outline,개요,toeic
explain,설명하다,toeic
contain,포함하다,toeic
compile,편집하다; 모으다,toeic
subsequent,차후의,toeic
overview,개요,toeic
provider,공급자,toeic
matter,문제,toeic
expertise,전문지식,toeic
demonstrate,증명하다; 설명하다,toeic
remainder,나머지,toeic
essential,필수적인,toeic
divide,분배하다,toeic
major,주요한,toeic
compliance,준수,toeic
clarify,명확하게 하다,toeic
face,직면하다; 향하다,toeic
aspect,관점,toeic
apparently,보기에 ~한 듯한,toeic
aware,알고 있는,toeic
extended,연장한,toeic
accidentally,뜻하지 않게,toeic
advisable,바람직한,toeic
concerned,염려하는,toeic
speak,이야기 하다,toeic
collection,소장품,toeic
exhibition,전시회,toeic
celebrity,유명인사,toeic
live,생방송인,toeic
improvise,즉흥적으로 하다,toeic
popular,인기있는,toeic
donation,기증,toeic
alumni,동창생들,toeic
present,제시하다,toeic
admission,입장,toeic
banquet,연회,toeic
anniversary,기념일,toeic
required,필수의,toeic
succeed,성공하다,toeic
rest,쉬다,toeic
fund-raising,모금,toeic
issue,제 ~호; 문제,toeic
subscription, 구독,toeic
appear,나타나다,toeic
accompany,동행하다,toeic
edition,판,toeic
specifically,명확하게,toeic
anonymous,익명의,toeic
commit,헌신하다,toeic
information,유익한,toeic
audience,청중,toeic
author,작가,toeic
antique,골동품,toeic
manuscript,원고,toeic
beneficial,유익한,toeic
upcoming,곧 있을,toeic
lend,빌려주다,toeic
current,현재의,toeic
local,지방의,toeic
variety,다양성,toeic
advocate,옹호자,toeic
contributor,기고가,toeic
fascinating,매혹적인,toeic
showing,상영; 전시,toeic
survey,설문조사,toeic
analysis,분석,toeic
respondent,응답자,toeic
competition,경쟁,toeic
consistently,항상,toeic
demand,수요,toeic
do one's utmost,전력을 다하다,toeic
expand,확장하다,toeic
advanced,고급의; 진보한,toeic
postpone,연기하다,toeic
additional,추가의,toeic
demonstration,설명; 드러냄,toeic
buy,사다,toeic
